RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
394457,78,"Charleston, SC",Msa,SC,5671,5664,6059,6480,6869,7028,7010,6891,6596,6571,6471,6347,6190,6186,6561,6833,7116,7342,7480,7525,7262,7149,6866,6592,6353,6312,6491,6442,6534,6443,6326,5945,5573,5317,4933,4473,4007,3608,3401,3186,3114,3034
395143,79,"Syracuse, NY",Msa,NY,2516,2339,2355,2502,2718,2931,3133,3280,3296,3186,2963,2678,2397,2206,2204,2315,2500,2656,2789,2872,2877,2813,2599,2300,2004,1824,1761,1646,1639,1715,1860,1927,1912,1859,1689,1455,1282,1146,1133,1155,1314,1473
394484,80,"Colorado Springs, CO",Msa,CO,1854,1800,1993,2308,2792,3235,3607,3768,3789,3644,3405,3045,2712,2464,2507,2701,3080,3475,3763,3912,3852,3706,3366,2964,2632,2472,2643,2761,3129,3416,3765,3806,3655,3470,3116,2694,2318,1984,1888,1861,2114,2299
395235,81,"Winston-Salem, NC",Msa,NC,2473,2403,2550,2785,3083,3172,3250,3048,2876,2655,2532,2346,2171,2081,2219,2363,2519,2562,2594,2589,2594,2580,2514,2345,2233,2165,2282,2264,2265,2129,2061,1956,1893,1872,1791,1646,1464,1294,1179,947,740,566
395224,82,"Wichita, KS",Msa,KS,2637,2504,2523,2588,2724,2873,2961,3023,2978,2979,2922,2810,2678,2556,2580,2646,2725,2775,2735,2716,2641,2597,2464,2298,2175,2126,2176,2172,2199,2144,2121,2070,2083,2094,2058,1918,1755,1521,1440,1416,1548,1656
395115,83,"Springfield, MA",Msa,MA,1505,1364,1383,1507,1713,1897,2032,2081,2085,2090,2008,1840,1631,1501,1507,1577,1723,1842,1928,1944,1942,1919,1823,1613,1405,1288,1305,1283,1305,1310,1350,1339,1338,1354,1299,1157,993,866,832,862,958,1042
394440,84,"Fort Myers, FL",Msa,FL,11237,11942,12856,13027,12789,12046,11383,10964,10741,10866,11264,11798,12676,13437,14201,14300,13983,13445,12745,12136,11525,11324,11375,11497,11886,12187,12490,11973,11458,10679,10051,9312,8753,8458,8049,7604,7127,6716,5689,4567,3634,3473
394399,85,"Boise City, ID",Msa,ID,3438,3124,3165,3491,3765,3968,4052,4272,4406,4442,4282,3945,3631,3386,3440,3675,4006,4268,4395,4446,4443,4439,4291,3972,3627,3436,3534,3638,3896,3939,3825,,,,2503,2218,1909,1753,1862,2009,2302,2578
395160,86,"Toledo, OH",Msa,OH,2264,2169,2204,2256,2347,2419,2523,2620,2648,2624,2488,2292,2093,1932,1933,1996,2108,2183,2212,2255,2266,2288,2238,2116,1966,1862,1841,1780,1773,1753,1751,1712,1679,1693,1618,1483,1322,1198,1161,1173,1257,1355
394816,87,"Madison, WI",Msa,WI,1887,1749,1878,2196,2560,2834,2954,2946,2855,2738,2554,2261,1977,1844,1953,2198,2535,2819,2941,2916,2826,2748,2573,2298,2012,1897,2025,2188,2337,2381,2457,2470,2434,2401,2282,2051,1728,1519,1539,1689,1891,2039
394766,88,"Lakeland, FL",Msa,FL,4026,4071,4245,4357,4428,4404,4360,4384,4465,4552,4594,4553,4712,4915,5237,5245,5159,5155,5198,5313,5300,5354,5309,5153,5073,5075,5161,5004,4917,4740,4665,4428,4254,4117,3935,3696,3451,3200,2985,2661,2481,2370
394931,89,"Ogden, UT",Msa,UT,1572,1495,1580,1738,2005,2201,2325,2454,2560,2657,2573,2358,2163,2056,2143,2244,2443,2625,2760,2833,2870,2875,2719,2414,2106,1898,1984,2089,2259,2215,2128,1951,1780,1730,1579,1425,1227,1096,1138,1175,1342,1431
394528,90,"Daytona Beach, FL",Msa,FL,4205,4264,4473,4624,4742,4789,4804,4828,4797,4809,4816,4785,4856,4950,5207,5214,5165,5086,5100,5109,5059,5051,5036,4910,4888,4919,5086,4965,4905,4696,4522,4175,3909,3786,3628,3485,3349,3263,3146,3009,3024,3121
394531,91,"Des Moines, IA",Msa,IA,3514,3460,3789,3961,4177,4202,4330,4407,4409,4417,4298,4049,3806,3606,3656,3811,4077,4246,4354,4447,4533,4550,4437,4168,3874,3690,3775,3842,3969,3866,3784,3557,3377,3226,3026,2773,2520,2343,2362,2450,2595,2671
394711,92,"Jackson, MS",Msa,MS,2777,2782,2926,3091,3295,3379,3388,3300,3177,3097,2990,2841,2699,2647,2776,2879,2971,3000,3017,2988,2926,2874,2824,2741,2658,2596,2630,2608,2604,2501,2427,2284,2151,2050,1910,1748,1578,1443,1425,1417,1449,1450
394352,94,"Augusta, GA",Msa,GA,3807,3717,3783,3864,3971,4005,4017,3986,3921,3845,3745,3621,3548,3526,3624,3671,3760,3876,4004,4061,4053,3992,3819,3585,3437,3441,3487,3367,3216,2973,2886,2733,2640,2505,2338,2176,2062,2024,2027,1973,1993,2021
394666,96,"Harrisburg, PA",Msa,PA,2358,2176,2228,2358,2522,2614,2646,2658,2614,2564,2428,2241,2032,1890,1905,2012,2200,2360,2444,2468,2458,2447,2371,2210,2039,1897,1819,1635,1624,1688,1842,1824,1696,1658,1570,1457,1312,1209,1223,1244,1307,1385
395006,100,"Provo, UT",Msa,UT,1710,1597,1666,1879,2317,2709,2989,3107,3130,3204,3225,3160,3021,2914,3040,3218,3507,3715,3839,3914,3848,3777,3548,3242,2935,2715,2810,2982,3285,3305,3147,2785,2470,2273,1994,1701,1396,1201,1218,1271,1460,1602
394602,159,"Fort Collins, CO",Msa,CO,1977,1821,1927,2171,2494,2731,2930,3017,3012,3018,2952,2747,2446,2242,2322,2551,2900,3021,3045,2937,2929,2832,2619,2309,2106,1975,2025,2031,2265,2465,2656,2587,2518,2355,2125,1802,1574,1508,1578,1685,1792,1840
