Population Density (pop/sq mi)▼,Zip,Population
28.9,30218,"1,974"
28.7,30669,"3,578"
28.5,31790,"1,889"
28.4,30420,"1,101"
28.4,31553,"4,912"
28.3,30410,"1,901"
27.9,31076,"3,400"
27.9,39842,"7,957"
27.9,31733,"1,637"
27.5,30708,403
27.5,31078,"2,918"
27.5,30285,475
27.2,31033,"2,019"
27.1,30448,79
27.1,30446,"1,811"
27,31001,"4,802"
26.6,30822,936
26.4,31035,"1,379"
26.2,30731,"2,276"
25.9,31642,"4,820"
25.8,31557,"2,874"
25.7,31303,"2,132"
25.6,31039,74
25.2,31625,"1,529"
25.1,30456,"2,035"
25,39840,"5,299"
24.9,31002,"2,922"
24.8,31006,"4,525"
24.6,31803,"6,985"
24.6,31542,"2,526"
24.4,31784,829
24.4,31778,"2,612"
24.4,39897,"3,490"
24.3,31801,"2,109"
24.1,30810,"1,990"
24,31649,"1,196"
23.8,39823,"8,400"
23.6,31071,"1,308"
23.5,30823,"1,711"
23.2,31519,"3,168"
23.1,30467,"12,139"
23.1,31097,"1,247"
23.1,30442,"7,308"
23.1,31626,"3,325"
23,31045,85
22.3,31057,"1,955"
22,30541,"1,549"
22,31825,"2,907"
22,39837,"6,251"
21.8,31567,937
21.6,31744,"2,683"
21.6,31555,"3,209"
21.2,39861,"1,140"
21.2,31009,"1,529"
21.1,30452,"1,184"
21.1,31070,"1,087"
21,31011,"1,051"
21,31025,"1,333"
20.8,39859,"1,232"
20.7,31041,"1,139"
20.7,31066,"1,409"
20.5,31020,"2,246"
20.5,30334,1
20.2,31042,"1,956"
20.1,31562,"2,166"
19.9,39846,"1,728"
19.6,31634,"5,611"
19.5,31789,"1,255"
19.4,31641,"1,653"
19.3,31560,"2,663"
19.3,31007,"1,214"
19.2,31712,949
19.2,31527,621
19.2,31756,765
19.1,31622,"2,127"
19.1,31087,"9,001"
19,31331,"6,181"
19,31780,"1,907"
18.9,31079,"2,135"
18.5,39834,"2,248"
18.1,31796,"1,115"
18.1,30425,"1,315"
18.1,31072,"1,375"
17.9,31060,"1,844"
17.6,31532,913
17.6,31017,"1,662"
17.6,31824,"1,989"
17.5,39854,"2,449"
17.5,31764,"1,392"
17.5,31044,"3,039"
17.2,30572,"1,833"
17.1,30678,"1,245"
17.1,31049,"1,695"
17.1,30816,"2,245"
17,30545,676
17,31827,"2,583"
16.4,30627,"2,061"
16.2,30470,476
16.1,31787,"1,433"
15.9,39851,"2,271"
15.7,31065,"1,022"
15.2,31016,"1,398"
15,31551,"1,080"
15,30820,"1,271"
14.9,30522,678
14.9,31058,"1,491"
14.9,30449,115
14.7,39813,"1,824"
14.6,39825,"1,527"
14,31550,726
13.9,30428,"2,111"
13.6,31549,"1,556"
13.4,30413,"1,667"
13.4,31624,"1,073"
13.4,31711,795
13.2,30818,443
13,39886,"1,607"
12.8,31077,"1,246"
12.8,39870,"2,423"
12.6,30803,700
12.5,31552,"1,083"
12.5,31518,584
12.3,31629,545
12.1,31798,955
11.9,31563,"1,340"
11.9,31565,"1,764"
11.7,31815,"2,923"
11.7,31323,"1,576"
11.5,30667,900
11.4,30660,"1,141"
10.5,30454,383
10.5,31094,"1,141"
10.2,30441,"1,882"
10.1,31810,128
10.1,30821,"1,051"
10.1,30668,"1,689"
10,31743,567
9.9,31783,"1,003"
9.9,31038,922
9.9,39877,407
9.6,31836,803
9.4,30455,416
9.3,31772,599
9.1,30631,"1,775"
8.6,39841,581
8.6,39862,"1,285"
8.2,39836,636
7.9,31081,282
7,30426,845
6.9,31814,115
6.8,39824,385
5.9,31812,497
5.7,31568,758
5.6,31544,580
5.5,31630,503
4.4,31832,110
4.3,39867,371
4.1,31631,514
4,31090,581
3.8,31327,195
3.2,31821,296
