Zipcode,Year,Average House Price
30092,2017,351172.3333
30092,2018,373622.75
30092,2019,387992.1667
30092,2020,399004.75
30092,2021,440348
30180,2013,119792
30180,2014,130054.9167
30180,2015,139163.3333
30180,2016,146618.1667
30180,2017,158609.25
30180,2018,175316.6667
30180,2019,188046.9167
30180,2020,203743
30180,2021,225477.3333
30033,2013,260517.3333
30033,2014,283604.8333
30033,2015,293948.6667
30033,2016,317978.9167
30033,2017,337092.4167
30033,2018,372901.25
30033,2019,384376
30033,2020,393737.6667
30033,2021,422197.1667
30223,2013,71905.83333
30223,2014,78184.83333
30223,2015,80992.66667
30223,2016,80892.66667
30223,2017,91222.25
30223,2018,97905.41667
30223,2019,108554
30223,2020,125288.6667
30223,2021,140657
30344,2013,70893.33333
30344,2014,80865.33333
30344,2015,92717.83333
30344,2016,107789.4167
30344,2017,125925.75
30344,2018,148222.4167
30344,2019,169061.9167
30344,2020,186217.3333
30344,2021,209861.1667
30189,2013,192339.4167
30189,2014,209378.5
30189,2015,214604.5833
30189,2016,234848.6667
30189,2017,245429.25
30189,2018,263861.3333
30189,2019,280366.75
30189,2020,295541.1667
30189,2021,329132.3333
30087,2013,135374.3333
30087,2014,152984.1667
30087,2015,162162.8333
30087,2016,176684.0833
30087,2017,188860.4167
30087,2018,209485.8333
30087,2019,221034.75
30087,2020,234580.75
30087,2021,265129.1667
30342,2013,562624.6667
30342,2014,612800.9167
30342,2015,649287.9167
30342,2016,671275.9167
30342,2017,695232.3333
30342,2018,726783.3333
30342,2019,735506.5833
30342,2020,741773.3333
30342,2021,780427.6667
30238,2013,59429.16667
30238,2014,77180.5
30238,2015,82406
30238,2016,87409.5
30238,2017,98592.58333
30238,2018,115695.4167
30238,2019,134635.3333
30238,2020,148753.3333
30238,2021,162037.6667
30329,2013,312731.4167
30329,2014,350584.75
30329,2015,370626.1667
30329,2016,394693.25
30329,2017,413458.6667
30329,2018,449321.4167
30329,2019,459154.25
30329,2020,456898.9167
30329,2021,484960.6667
30014,2013,98681
30014,2014,118247.4167
30014,2015,128145
30014,2016,134816.9167
30014,2017,142568.5833
30014,2018,154780.9167
30014,2019,171391.75
30014,2020,182404.3333
30014,2021,202207.5
30046,2013,112056.5833
30046,2014,133400.8333
30046,2015,146453
30046,2016,157383.6667
30046,2017,170632.1667
30046,2018,187850
30046,2019,202619.25
30046,2020,215843.25
30046,2021,246326
30341,2013,248514.5
30341,2014,273315.1667
30341,2015,289061.5
30341,2016,318490.25
30341,2017,342804.75
30341,2018,380385.25
30341,2019,396290.6667
30341,2020,411309.25
30341,2021,444686.3333
30117,2013,97284.33333
30117,2014,105274
30117,2015,114490.5833
30117,2016,120068
30117,2017,131679.6667
30117,2018,144701.6667
30117,2019,155982
30117,2020,170468.5833
30117,2021,188214.5
30308,2013,344570
30308,2014,389677
30308,2015,425854.6667
30308,2016,465035.5
30308,2017,502952.6667
30308,2018,548369.1667
30308,2019,574958.3333
30308,2020,600924.75
30308,2021,641191.6667
30060,2013,112159.5833
30060,2014,132013.5833
30060,2015,143881.0833
30060,2016,152912.25
30060,2017,165188.6667
30060,2018,182011.9167
30060,2019,200765.25
30060,2020,217521
30060,2021,247276.6667
30030,2013,358465.4167
30030,2014,393255.5833
30030,2015,423763.0833
30030,2016,455644.75
30030,2017,484487.1667
30030,2018,530898.5833
30030,2019,543169
30030,2020,560597.1667
30030,2021,598966
30315,2013,70613.41667
30315,2014,77073.33333
30315,2015,82135.91667
30315,2016,93766.16667
30315,2017,108642.1667
30315,2018,137752.25
30315,2019,167762.3333
30315,2020,187682.25
30315,2021,214219.5
30265,2013,180784.3333
30265,2014,192448.3333
30265,2015,202291.5
30265,2016,212433.25
30265,2017,222003
30265,2018,235934.3333
30265,2019,246830.9167
30265,2020,259513.0833
30265,2021,282003.3333
30005,2013,358164.4167
30005,2014,392467.4167
30005,2015,409505.5833
30005,2016,427858.8333
30005,2017,445009.5
30005,2018,462181.6667
30005,2019,466907.4167
30005,2020,479989.5
30005,2021,522356.3333
30312,2013,240234.8333
30312,2014,272142.1667
30312,2015,300142.4167
30312,2016,335471.5833
30312,2017,381561.5
30312,2018,425568.5
30312,2019,444617.75
30312,2020,458755.4167
30312,2021,491371.6667
30078,2013,144289.25
30078,2014,162849
30078,2015,172787.0833
30078,2016,182130.4167
30078,2017,194407.9167
30078,2018,211481
30078,2019,224727.8333
30078,2020,238768.5833
30078,2021,268964.1667
30068,2013,351345.25
30068,2014,381448.75
30068,2015,399435.5833
30068,2016,423611.75
30068,2017,439926.1667
30068,2018,453812.9167
30068,2019,459267.75
30068,2020,472345.0833
30068,2021,518617.5
30274,2013,46748.58333
30274,2014,59331.08333
30274,2015,63061.41667
30274,2016,69121.5
30274,2017,78589
30274,2018,92123.5
30274,2019,110849.25
30274,2020,126955
30274,2021,141440.3333
30310,2013,59647
30310,2014,70144.58333
30310,2015,81049.08333
30310,2016,102409.25
30310,2017,146440.25
30310,2018,195914.1667
30310,2019,236137.3333
30310,2020,253418.8333
30310,2021,288318.6667
30215,2013,208817.9167
30215,2014,226486.6667
30215,2015,237017.8333
30215,2016,248476.0833
30215,2017,264921.9167
30215,2018,281109.0833
30215,2019,293279.5
30215,2020,308051.1667
30215,2021,331421.1667
30214,2013,169052.5
30214,2014,181441.1667
30214,2015,191636.25
30214,2016,204699.0833
30214,2017,221856
30214,2018,234896.9167
30214,2019,246984.5833
30214,2020,260229.4167
30214,2021,281040.3333
30045,2013,148958.0833
30045,2014,171081.5833
30045,2015,181641.3333
30045,2016,192809.0833
30045,2017,207163.5833
30045,2018,225505.1667
30045,2019,240247.5
30045,2020,255164.3333
30045,2021,287671
30306,2013,546175.9167
30306,2014,611742.9167
30306,2015,649190.25
30306,2016,685757.3333
30306,2017,719434.8333
30306,2018,760909.5
30306,2019,785002.1667
30306,2020,805709
30306,2021,857522.1667
30534,2013,168118.5833
30534,2014,180388.0833
30534,2015,191601.0833
30534,2016,201493.5833
30534,2017,213489.75
30534,2018,231791.5833
30534,2019,248306.9167
30534,2020,260368.1667
30534,2021,276521.5
30094,2013,116050.5833
30094,2014,136390.25
30094,2015,142457.3333
30094,2016,151491.1667
30094,2017,162187.8333
30094,2018,183277.25
30094,2019,198065.6667
30094,2020,209948
30094,2021,235776.1667
30082,2013,211738.3333
30082,2014,231299.5
30082,2015,243800
30082,2016,259160.0833
30082,2017,277863.6667
30082,2018,298675.9167
30082,2019,312987.9167
30082,2020,324938.25
30082,2021,360015.6667
30013,2013,116487
30013,2014,136884.9167
30013,2015,143605.8333
30013,2016,152731.9167
30013,2017,164457.5833
30013,2018,185000.5
30013,2019,198760
30013,2020,210805.25
30013,2021,233799.8333
30008,2013,116379.8333
30008,2014,136027
30008,2015,147397.9167
30008,2016,158210.9167
30008,2017,170993
30008,2018,186074.4167
30008,2019,201218
30008,2020,216527.6667
30008,2021,244980.5
30340,2013,147590.4167
30340,2014,172071.4167
30340,2015,181290.4167
30340,2016,194962.1667
30340,2017,211949.75
30340,2018,243376.0833
30340,2019,263649.0833
30340,2020,279616.5833
30340,2021,299844.6667
30012,2013,93675.83333
30012,2014,108995.75
30012,2015,112570
30012,2016,117769.25
30012,2017,123794.9167
30012,2018,142153.5
30012,2019,154247.1667
30012,2020,166367.1667
30012,2021,187536.8333
30224,2013,93800.08333
30224,2014,102986.6667
30224,2015,108165.75
30224,2016,110676.4167
30224,2017,125811.8333
30224,2018,135440.6667
30224,2019,147605.4167
30224,2020,162487.9167
30224,2021,178697.1667
30028,2013,220885.8333
30028,2014,243234.25
30028,2015,257398.0833
30028,2016,269252.1667
30028,2017,282321.1667
30028,2018,300515.5
30028,2019,310562.0833
30028,2020,327014.25
30028,2021,368526.8333
30143,2013,174261.75
30143,2014,186368.0833
30143,2015,198286.75
30143,2016,209448.9167
30143,2017,220553.8333
30143,2018,235088.8333
30143,2019,246698.75
30143,2020,255652.5833
30143,2021,269886.6667
30345,2013,326101.8333
30345,2014,362516.5833
30345,2015,379798.9167
30345,2016,411842.25
30345,2017,427539.9167
30345,2018,461987.5
30345,2019,473240.4167
30345,2020,478500
30345,2021,510783
30296,2013,59983.91667
30296,2014,75334.5
30296,2015,83410.91667
30296,2016,92014.91667
30296,2017,105270.8333
30296,2018,122003.0833
30296,2019,139337.6667
30296,2020,154792.6667
30296,2021,171170.3333
30655,2013,119671.75
30655,2014,131922
30655,2015,141089.4167
30655,2016,151565.0833
30655,2017,161737.5833
30655,2018,177437.3333
30655,2019,190101.75
30655,2020,202783.5
30655,2021,224916.6667
30088,2013,72503.25
30088,2014,88403.5
30088,2015,96534.58333
30088,2016,102066.0833
30088,2017,109195.6667
30088,2018,129077.4167
30088,2019,144818.6667
30088,2020,161267.5833
30088,2021,181107.8333
30327,2013,984405
30327,2014,1054386.417
30327,2015,1110103.167
30327,2016,1145741.167
30327,2017,1156294.917
30327,2018,1218167.5
30327,2019,1247752.833
30327,2020,1270437.833
30327,2021,1353403.333
30168,2013,86996.5
30168,2014,103995.5
30168,2015,117682.3333
30168,2016,129491.5833
30168,2017,139968.6667
30168,2018,154400.1667
30168,2019,169303.3333
30168,2020,184882.8333
30168,2021,215163
30248,2013,127550.1667
30248,2014,147996.4167
30248,2015,154512.6667
30248,2016,159437.75
30248,2017,167091.25
30248,2018,179777.75
30248,2019,191623.0833
30248,2020,208590.9167
30248,2021,232597.5
30122,2013,89819.33333
30122,2014,100691.0833
30122,2015,113650.0833
30122,2016,123565.4167
30122,2017,136980.25
30122,2018,150800.8333
30122,2019,160150.3333
30122,2020,177973.1667
30122,2021,205366.6667
30307,2013,420365.5
30307,2014,461212.25
30307,2015,484273.8333
30307,2016,512166.1667
30307,2017,538259.75
30307,2018,586840.3333
30307,2019,597494.5
30307,2020,608356.9167
30307,2021,644426
30297,2013,34603.83333
30297,2014,43423.25
30297,2015,47903
30297,2016,49836.58333
30297,2017,56729.33333
30297,2018,67076.41667
30297,2019,82479.91667
30297,2020,98125.83333
30297,2021,110277.8333
30260,2013,54140.5
30260,2014,67875.25
30260,2015,75395
30260,2016,81398.41667
30260,2017,90340.58333
30260,2018,104711.75
30260,2019,124025.3333
30260,2020,137689.5833
30260,2021,151793
30291,2013,79758.83333
30291,2014,96336
30291,2015,105233.8333
30291,2016,115203.4167
30291,2017,125389.4167
30291,2018,139632.75
