RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021
395175,418,"Ukiah, CA",Msa,CA,303268,306763,310368,314427,317856,321489,323317,326663,329685,334443,338043,341339,344116,345969,347839,349136,350637,351610,354474,354929,355510,354060,355004,356034,357178,358451,359761,361332,362750,364254,364714,365908,367270,369468,370838,372483,374189,375918,377217,378097,379207,380542,382125,384315,386216,388249,389562,390639,391822,392910,394909,397141,399351,401205,402477,404619,407042,410477,413304,415355,416343,417169,419332,422382,425108,426065,426366,425500,423860,421372,422154,424267,427166,428732,425340,421347,417852,416724,415104,412429,409874,408151,404517,402408,404073,406065,409004,407042,409053,414421,422773,429872,436787,443548,450577,456018,458073,460629,464652,473124,477948,479019
753887,419,"Hermiston-Pendleton, OR",Msa,OR,114729,115701,116799,117839,118902,119874,120804,121805,122820,123918,124870,126143,127211,128297,129051,129902,130751,131598,132451,133219,134056,134874,135838,136614,137583,138626,139900,141167,142386,143696,145034,146426,147778,149112,150450,151803,152998,154164,155331,156632,157994,159439,160915,162395,163798,165160,166447,167777,169105,170464,171779,173050,174334,175468,176576,177597,178639,179668,180660,181684,182849,183994,185202,186289,187319,188144,189150,189879,190632,191232,191904,192479,193136,193935,194699,195726,196143,196572,196024,196221,197025,198490,200365,201931,203465,204589,204863,205270,204718,205493,206397,208523,209999,211405,212903,215191,217948,221509,226354,231597,238712,245551
394809,420,"Lufkin, TX",Msa,TX,80735,81083,81416,81798,82226,82684,83178,83660,84139,84585,85046,85549,86076,86540,87023,87513,88090,88709,89301,89901,90585,91314,92028,92580,93134,93734,94391,95037,95640,96189,96720,97304,97843,98370,98815,99333,99906,100520,101111,101683,102261,102887,103480,104076,104512,104995,105523,106238,106973,107732,108428,109063,109563,110048,110633,110865,111228,111415,111976,112446,112950,113417,113904,114432,115138,115753,116319,117422,118696,119892,120302,120613,120925,121393,121878,122526,123165,123819,124315,124670,124409,124649,124893,125502,125749,125577,125595,125544,125398,125309,125226,125484,125894,126033,126523,126848,127493,128447,129312,130221,131271,132390
395248,421,"Zanesville, OH",Msa,OH,93325,93541,93749,93881,93953,94041,94110,94310,94575,94853,95099,95381,95728,96055,96298,96542,96899,97257,97662,97915,98234,98495,98828,99079,99398,99693,100018,100272,100514,100823,101089,101468,101643,101861,102041,102353,102487,102638,102834,103244,103611,103956,104294,104630,105045,105514,105941,106330,106688,107092,107528,107951,108420,108763,109166,109583,110211,110801,111420,111888,112236,112637,112989,113482,113960,114512,115144,115653,116358,117062,118041,119035,119830,120418,120850,121345,121826,122174,122550,123102,123730,124487,125745,127391,129557,129644,129637,129724,130605,131118,130872,131112,131402,131724,131658,131493,131225,132786,134660,136539,138014,140026
394505,422,"Corvallis, OR",Msa,OR,247835,250136,251324,251640,252218,254135,256345,257900,259948,262115,264842,266990,268824,270233,270596,270750,270274,271319,272336,273711,273722,273774,274441,275445,276818,278035,280876,283053,285416,286108,287381,288741,291442,293807,295962,298222,300721,303363,304067,304944,306838,308481,310336,310852,311559,312473,312491,313267,312736,314497,318685,323896,325691,326596,326636,328988,331235,333897,337898,340519,343730,342852,341779,342159,345959,352058,357937,363171,366573,368227,368865,368148,367871,368180,369418,369042,369515,369908,370070,370698,370346,373090,374188,379322,381696,386103,389194,393482,395293,392803,390803,388529,390275,390775,393413,394586,398361,401855,406728,412072,419320,430760
394395,423,"Bloomsburg, PA",Msa,PA,132183,132438,132619,132871,133123,133331,133572,133759,133910,134026,134258,134641,135061,135423,135821,136254,136643,136955,137227,137561,138095,138638,139174,139439,139864,140226,140550,140690,140866,141300,141788,142310,142603,142990,143320,143912,144316,144946,145490,146145,146729,147260,147800,148289,148823,149302,149827,150318,150882,151403,152054,152787,153521,154199,154806,155480,156194,156932,157662,158273,158847,159301,159764,160180,160747,161282,161885,162416,162987,163627,164253,164950,165491,166160,166822,167596,168044,168544,169036,169994,170846,171944,172172,172422,172382,172818,173212,173678,174096,174576,174938,175251,175544,175651,176476,177328,178534,179397,180342,181246,182397,183576
394776,424,"Laurel, MS",Msa,MS,86199,86006,85800,85856,85752,85667,85511,85636,85753,85818,85819,85929,86256,86536,86889,87148,87525,87842,88194,88364,88505,88649,88885,89197,89467,89767,90011,90209,90383,90525,90712,90883,91101,91352,91599,91733,91838,92008,92263,92554,92888,93231,93565,93857,94255,94583,94880,95187,95485,95813,96044,96270,96261,96265,96205,96396,96455,96702,96867,97063,97200,97224,97250,97352,97738,98216,98662,98951,99136,99243,99348,99523,99693,99867,100122,100461,100773,100949,101053,101303,101722,102214,102638,102973,103244,103226,103117,102766,102820,102882,103153,103166,103216,103261,103424,103663,104016,104662,105398,106329,106985,107763
395042,425,"Russellville, AR",Msa,AR,90890,91070,91189,91279,91317,91375,91455,91468,91473,91488,91578,91689,91758,91863,91969,92055,92152,92238,92434,92743,93053,93289,93398,93596,93964,94287,94652,95010,95385,95717,95939,96269,96626,97102,97628,98143,98593,98996,99391,99762,100160,100571,101082,101319,101585,101789,102211,102598,102948,103318,103705,104156,104649,105128,105514,106045,106496,106915,107130,107334,107600,108008,108527,109016,109427,109830,110311,110733,111179,111530,112006,112514,113215,113862,114522,115070,115461,115919,116368,116858,117143,117919,118536,119511,119994,119726,118934,118571,118983,119540,119662,119967,120423,120626,120992,121138,121625,122751,124334,125723,126721,127680
394411,426,"Branson, MO",Msa,MO,133529,133495,133386,133434,133461,133574,133680,133850,133963,134146,134382,134653,135115,135634,136217,136604,137031,137404,137841,138174,138541,138929,139404,139895,140224,140507,140775,141154,141589,142061,142518,143019,143577,144068,144523,144914,145416,145881,146348,146837,147281,147819,148348,148930,149399,149851,150290,150796,151469,152189,152868,153430,153945,154268,154595,154944,155521,156134,156736,157360,157622,157982,158404,158974,159619,160324,161182,161894,162551,163127,163746,163971,164454,164780,165377,166092,166979,168130,169054,170041,170781,171440,171780,171791,172135,172715,173689,174456,175275,176035,176830,177701,178787,180035,181575,183633,185437,187201,188600,190196,191779,193409
395212,427,"Watertown, WI",Msa,WI,138932,139660,139235,138379,140850,145293,152241,157842,163159,164552,163830,161792,162223,162291,165278,168564,170439,170639,168527,168182,166928,167941,169331,170255,170468,172668,174071,175772,174704,173983,173127,172020,171554,171283,172229,174017,175440,175975,175572,174996,175517,176438,177722,178923,180343,181566,182510,183313,184250,184399,185020,185602,187194,188272,189309,190400,191518,192891,193947,194962,195575,196736,198057,199602,200636,202131,204077,205980,207371,208414,209276,210534,211922,213600,215003,216290,217536,218166,218315,218215,218557,219693,221052,222502,223750,225305,227122,228405,229855,230567,231896,233201,235402,237312,239516,241807,244653,247373,250376,254259,258584,264283
394859,428,"Midland, MI",Msa,MI,128861,130604,131685,132010,131322,130863,131040,131577,133152,133962,134701,134938,134571,133673,131488,130847,131385,132594,132921,132729,132175,132416,132498,133013,133482,134292,135516,135851,135393,134832,134695,134731,134643,134003,134222,134558,135547,135860,136148,135904,135998,136342,137243,137725,138111,138227,138206,138016,137794,137711,138034,138797,140098,140922,140944,141282,141706,142886,143307,143894,144019,144870,145175,146219,147202,148040,148839,148686,148505,148274,149013,149529,150748,151547,153202,153560,152094,150686,149981,150892,152500,153592,153889,154508,154886,156151,156924,158261,160096,161600,162617,163682,164373,165482,167101,168760,170580,171953,173598,175496,178183,181423
394941,429,"Opelousas, LA",Msa,LA,99288,98325,97290,96909,97185,97716,98082,98805,99317,100094,98725,97291,95865,96467,96909,97076,96997,97094,97376,97490,97663,97508,98120,98660,99580,100282,101124,101800,102152,102432,102660,102756,102872,103040,103452,104038,104772,104409,103752,102909,102866,102896,102934,102981,102957,103142,103305,103678,103276,103195,103113,103643,103970,104125,104240,104317,104356,104375,104407,103831,103395,103051,103276,103325,103191,103225,103448,103835,103968,103626,103405,103708,104578,105244,105750,106258,106957,107775,108411,108960,108656,107620,106268,105656,105862,106480,107123,107909,108600,108883,109131,109439,110811,113052,115555,117436,118488,119400,120414,121513,122837,124596
394988,430,"Pocatello, ID",Msa,ID,140116,141276,142591,143600,144258,143963,143797,143476,144233,144410,143946,142914,141181,140884,141060,141865,142373,142354,141530,140217,137750,136153,134894,134667,135674,136168,136477,136016,136023,136489,137401,138618,140427,141951,143951,145527,146402,146836,147674,149019,150513,151739,153399,154635,155634,156804,157524,158218,158048,158863,158800,158877,158114,158164,157641,158115,158491,159069,159354,160161,162206,163438,165117,166562,169771,173013,175978,177483,178695,179876,182088,184039,185816,187477,189279,190879,191081,191176,191751,194227,197556,201808,203931,204578,203786,205112,206262,209219,210891,213299,214723,216344,217670,218503,220921,224963,230407,234783,239611,243547,249553,255653
394755,431,"Kokomo, IN",Msa,IN,80285,80311,80272,80043,79675,79293,79187,79250,79519,79518,79134,78146,77676,77567,78515,79358,80357,80946,81618,82192,82836,83529,84886,87373,88986,89953,89262,89553,90141,91612,91880,91889,91233,91517,91690,91634,91727,92018,92871,93167,93198,92878,93248,93825,94842,95338,95939,96462,97165,97499,97832,98296,98952,99666,100606,101503,102255,102656,102734,102702,102660,103522,104520,105219,105477,105669,106078,106552,107083,107874,108650,109552,110426,111032,111785,112404,113420,114238,115042,115589,116053,116332,116615,117108,118011,118562,118795,119133,119569,120155,120450,121164,122044,123127,124396,125582,126589,127973,129672,131587,133503,135617
394641,432,"Grants Pass, OR",Msa,OR,211477,213198,214335,215493,216604,217520,218457,219277,220177,220917,221596,223857,226027,228125,228481,228767,228891,228917,229015,229235,229676,230245,230953,226985,223117,219184,219988,220999,222366,224021,225369,226630,227643,228465,229203,231692,234548,237734,239205,240507,241653,242726,243931,245234,246747,248745,250689,253425,255714,258082,260140,262562,264961,266768,268730,270655,272854,274728,276742,278812,280827,282868,284658,286681,288069,290067,291996,293449,294512,294816,296012,295460,294852,292666,290702,288644,288306,289336,290391,292022,292565,293874,292931,295097,297020,300697,303689,307075,310652,312449,314610,316599,320340,324330,330194,334847,340303,345717,352339,359364,366235,374645
