Zip Code,Population
31016,"2,167"
31019,"2,156"
31512,"2,153"
31549,"2,143"
30460,"2,119"
31790,"2,105"
30456,"2,099"
30118,"2,096"
30757,"2,061"
30810,"2,049"
30733,"2,027"
31780,"2,026"
31565,"2,009"
31057,"2,006"
30149,"2,004"
31017,"1,984"
39846,"1,978"
39813,"1,975"
31049,"1,961"
30634,"1,949"
31033,"1,937"
39870 and 31738,"1,922"
30137,"1,914"
31622,"1,904"
30816,"1,895"
30641,"1,882"
31826 and 31641,"1,872"
30218,"1,868"
39851,"1,852"
39815,"1,848"
31058,"1,827"
31795,"1,819"
30413,"1,818"
30410,"1,813"
31022,"1,801"
30575,"1,800"
30105,"1,781"
30234,"1,774"
30552,"1,741"
30730,"1,711"
30441,"1,689"
30668,"1,650"
31060,"1,642"
30631,"1,623"
31314,"1,621"
39886,"1,610"
31020,"1,580"
30452,"1,576"
31824,"1,567"
30537,"1,552"
31054,"1,505"
30541,"1,498"
30823,"1,469"
30425,"1,458"
31764,"1,456"
39825,"1,453"
31042,"1,429"
31787,"1,392"
30678,"1,383"
31563,"1,369"
31077,"1,363"
30568,"1,348"
31097,"1,345"
31624,"1,332"
30562,"1,326"
31071,"1,297"
31066,"1,291"
31733,"1,284"
31072,"1,278"
30177,"1,273"
30660,"1,270"
31547,"1,262"
31009,"1,260"
31323,"1,257"
31552,"1,194"
39862,"1,180"
31070,"1,179"
31065,"1,169"
30619,"1,141"
31094 and 31085,"1,116"
31035,"1,098"
39861,"1,094"
31649,"1,091"
31207,"1,089"
31796,"1,082"
31090,"1,072"
31007,"1,070"
31712,"1,056"
30446,"1,055"
31638,"1,047"
30820,"1,032"
30746,"1,025"
31625,"1,008"
39859,"1,001"
31756,"1,000"
30803 and 30420,988
30522,987
31629,956
31836,953
31307 and 31789,947
31518,933
31783,932
30545,929
31309,923
31011,902
31784 and 31409,885
30821,884
31527,883
31025,879
30454,866
30572,864
31823,857
30667,855
31551,848
31050,843
31798,834
31648,828
31550,796
30903,791
30426,773
31544,770
31567,768
30148,762
31829,758
39824,757
31698,744
30072 and 30285,730
31711,715
39841,694
31735,686
31699,685
30818,648
30250,630
31041,623
31568,609
30822,600
31532,565
31812,547
30455,544
31772,518
39867,487
31062,477
31722,473
31038,458
31631,456
31630,448
39826,437
30070,426
30812,413
31318,387
31083,386
31743,343
30470 and 39877,337
31832,298
31067,288
39836,285
30336,274
31821,267
31627,257
30708,241
31720,237
30423,222
31327 and 31810,212
31747,196
31814,192
30912,183
30429,168
31051,156
30756,143
30581,141
30449,140
30464,122
30284,103
31556 and 31623,94
31003,87
39885,84
30807,83
30448,80
30665,77
30275,70
30623,67
30412 and 31084,65
30289,52
31561,47
30573 and 30751,46
30451,42
31304,35
30438,24
30664,19
31081,16
31045,13
