Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Year,Zipcode_Year
30062,67238,40.4,94437,42787,3624,2017,30062_2017
30062,66053,40.2,99101,44844,3618,2018,30062_2018
30062,65801,40.3,102269,46288,3634,2019,30062_2019
30064,46401,40.9,74603,36075,4308,2013,30064_2013
30064,45705,40.8,75597,36372,3839,2014,30064_2014
30064,46678,41.2,76000,37348,3743,2015,30064_2015
30064,47949,40.6,80652,38765,3335,2016,30064_2016
30064,47889,40.7,83375,40764,3791,2017,30064_2017
30064,49080,40.6,90567,43555,3077,2018,30064_2018
30064,49256,41,93413,45458,3046,2019,30064_2019
30066,52060,40.1,77661,36393,3638,2013,30066_2013
30066,52859,40.4,80409,37537,3542,2014,30066_2014
30066,52930,41,80766,38528,3568,2015,30066_2015
30066,53666,40.9,84430,39989,3541,2016,30066_2016
30066,54126,40.7,91364,42876,2863,2017,30066_2017
30066,55548,41.3,90034,41828,3546,2018,30066_2018
30066,55937,40.3,91840,44099,3588,2019,30066_2019
30067,45206,33.4,48093,34720,9217,2013,30067_2013
30067,47196,33.2,49933,35448,8993,2014,30067_2014
30067,47556,33.1,51088,35131,8615,2015,30067_2015
30067,48404,33.2,54956,36699,8564,2016,30067_2016
30067,46888,33.2,55681,39701,7700,2017,30067_2017
30067,46647,33.4,57816,40103,6632,2018,30067_2018
30067,46536,34.1,60281,40588,7093,2019,30067_2019
30068,33185,43,101284,46555,2172,2013,30068_2013
30068,32394,43.6,99036,47247,2167,2014,30068_2014
30068,32068,44.1,98786,49118,1959,2015,30068_2015
30068,31968,44.1,104227,50687,2052,2016,30068_2016
30068,32006,44.5,108105,52506,1497,2017,30068_2017
30068,32613,44.6,117475,55528,1602,2018,30068_2018
30068,32453,45.2,120851,58647,1369,2019,30068_2019
30070,253,37.1,32083,14728,72,2013,30070_2013
30070,351,29.4,34375,14169,102,2014,30070_2014
30070,424,29.2,34205,13837,107,2015,30070_2015
30070,507,28.9,32813,13385,138,2016,30070_2016
30070,476,28.4,26000,11635,171,2017,30070_2017
30070,484,27.9,17404,10723,213,2018,30070_2018
30070,426,39.5,15859,11013,219,2019,30070_2019
30071,21172,30.6,41165,20179,6367,2013,30071_2013
30071,23094,31.7,40729,19773,6825,2014,30071_2014
30071,24286,30.1,40915,18601,7779,2015,30071_2015
30071,24579,31,41484,18826,7042,2016,30071_2016
30071,24943,30.4,43951,20293,6122,2017,30071_2017
30071,25218,30.4,49175,21207,5916,2018,30071_2018
30071,25386,30.4,52672,21600,6302,2019,30071_2019
30072,588,47.3,52976,33277,86,2013,30072_2013
30072,674,45.4,54539,33818,98,2014,30072_2014
30072,648,47.4,52083,35006,100,2015,30072_2015
30072,644,48.9,46932,34851,67,2016,30072_2016
30072,630,48.3,48571,37000,53,2017,30072_2017
30072,727,48.8,55114,37819,45,2018,30072_2018
30072,730,48.7,55250,38023,60,2019,30072_2019
30075,55253,42.1,102305,47380,3776,2013,30075_2013
30075,54675,42.4,101744,47580,3526,2014,30075_2014
30075,54858,42.3,102258,48632,3684,2015,30075_2015
30075,54529,42.8,105642,50138,3623,2016,30075_2016
30075,53200,42.9,109786,53425,2837,2017,30075_2017
30075,53328,43.6,116923,56648,2061,2018,30075_2018
30075,53779,43.8,124329,60156,2208,2019,30075_2019
30076,41719,36.7,68108,37868,4527,2013,30076_2013
30076,43219,36.7,69426,38352,4587,2014,30076_2014
30076,43656,36.7,70896,38099,5581,2015,30076_2015
30076,44177,36.2,70697,37627,5298,2016,30076_2016
30076,45847,35.9,72719,38156,5648,2017,30076_2017
30076,46442,35.9,74454,39411,5293,2018,30076_2018
30076,46742,36.7,84846,42514,4910,2019,30076_2019
30078,34676,39.5,67018,28282,3440,2013,30078_2013
30078,34705,38.6,63288,28039,4066,2014,30078_2014
30078,35206,38.5,64383,27754,4505,2015,30078_2015
30078,33469,39,61909,28824,4422,2016,30078_2016
30078,34871,38.7,72207,31024,3438,2017,30078_2017
30078,35824,37.9,70966,31693,3132,2018,30078_2018
30078,35601,38.7,71071,31726,2960,2019,30078_2019
30079,3507,31.1,30139,16707,1543,2013,30079_2013
30079,2905,32.3,32121,19007,1195,2014,30079_2014
30079,2861,32.1,35313,20404,1188,2015,30079_2015
30079,2894,31.7,42642,21329,1045,2016,30079_2016
30079,2675,37.6,44706,28831,548,2017,30079_2017
30079,2824,36.9,48750,27853,699,2018,30079_2018
30079,3973,38.8,51318,24494,645,2019,30079_2019
30080,53298,32.6,52249,36047,8132,2013,30080_2013
30080,54252,32.9,51697,36773,9022,2014,30080_2014
30080,54407,33.1,55830,37308,8564,2015,30080_2015
30080,55746,33,60573,37541,8193,2016,30080_2016
30080,54829,33.5,65159,40675,6944,2017,30080_2017
30080,55361,33.2,68529,43192,6967,2018,30080_2018
30080,57067,33.7,72066,46391,6041,2019,30080_2019
30082,24720,36.1,70884,36740,3816,2013,30082_2013
30082,26152,35.5,70023,34878,3886,2014,30082_2014
30082,26974,36.6,69338,34439,3782,2015,30082_2015
30082,26876,36.8,72218,35652,3382,2016,30082_2016
30082,28529,36.6,74180,35827,3754,2017,30082_2017
30082,29011,36.6,75548,37617,3389,2018,30082_2018
30082,27840,38.2,76327,41227,2358,2019,30082_2019
30083,52056,32.6,41179,18916,11444,2013,30083_2013
30083,53914,32.4,39335,18039,13265,2014,30083_2014
30083,54845,33.2,38007,17511,15073,2015,30083_2015
30083,56038,34.3,37052,17760,16228,2016,30083_2016
30083,57851,34.3,37871,18493,16439,2017,30083_2017
30083,58323,33.7,40489,19142,15246,2018,30083_2018
30083,57137,33.3,42570,20354,12928,2019,30083_2019
30084,35524,37.4,52167,27583,6638,2013,30084_2013
30084,36214,37.1,54486,27365,6836,2014,30084_2014
30084,35896,38,53445,27679,7105,2015,30084_2015
30084,36829,39.5,58759,29620,5544,2016,30084_2016
30084,37332,40.5,61938,31303,5457,2017,30084_2017
30084,38484,40.7,66523,32578,4877,2018,30084_2018
30084,38374,40.4,68938,33401,4732,2019,30084_2019
30087,35077,42.6,68063,30811,4806,2013,30087_2013
30087,35911,42.6,67420,31004,4766,2014,30087_2014
30087,36403,42.5,66620,30829,5305,2015,30087_2015
30087,37628,41.6,67672,32095,5026,2016,30087_2016
30087,38496,42.5,71833,34431,4505,2017,30087_2017
30087,40003,41,72805,35192,4438,2018,30087_2018
30087,39586,40.9,76376,37004,4042,2019,30087_2019
30088,27003,35.8,46108,20882,3573,2013,30088_2013
30088,27150,35.9,46606,20441,3965,2014,30088_2014
30088,27167,34.8,45749,19957,4277,2015,30088_2015
30088,28465,34.4,47962,20176,4618,2016,30088_2016
30088,28857,37.2,48283,21006,4857,2017,30088_2017
30088,29984,35.1,50171,21047,6186,2018,30088_2018
30088,30132,35.5,49129,21778,6345,2019,30088_2019
30092,31992,34.4,58791,35396,3924,2013,30092_2013
30092,33080,34.5,61683,35526,3690,2014,30092_2014
30092,33357,35.3,64005,35983,3813,2015,30092_2015
30092,34427,35.4,63512,36783,3486,2016,30092_2016
30092,35572,35.9,63446,38371,3233,2017,30092_2017
30092,35419,36.2,62114,39675,3670,2018,30092_2018
30092,36034,36,64349,41436,3319,2019,30092_2019
30093,56213,29.2,35037,14832,17260,2013,30093_2013
30093,55116,29.4,34822,15605,15609,2014,30093_2014
30093,56052,29.2,33950,15015,16259,2015,30093_2015
30093,55244,29.2,35811,15912,14971,2016,30093_2016
30093,55826,29,37862,16525,14132,2017,30093_2017
30093,55107,28.7,41043,17659,12863,2018,30093_2018
30093,56290,28.6,44986,18389,11818,2019,30093_2019
30094,31024,40.3,57033,26465,3040,2013,30094_2013
30094,31714,40.7,59841,26583,3801,2014,30094_2014
30094,32416,41.2,59485,26235,3539,2015,30094_2015
30094,33029,41.1,60934,26367,3751,2016,30094_2016
30094,33605,40.8,65269,27057,3830,2017,30094_2017
30094,34928,41,67870,28386,4278,2018,30094_2018
30094,33579,41.5,73547,29982,3034,2019,30094_2019
30096,67110,32.2,49883,25227,10866,2013,30096_2013
30096,69371,32.1,49441,24491,11701,2014,30096_2014
30096,69237,33.4,50167,24958,11052,2015,30096_2015
30096,69675,34,52252,25640,10043,2016,30096_2016
30096,68241,34.7,50771,26821,10067,2017,30096_2017
30096,67959,35.1,53514,28011,8901,2018,30096_2018
30096,68691,35.8,57801,29620,8827,2019,30096_2019
30097,41467,38,97612,44968,2908,2013,30097_2013
30097,43378,38.7,98663,43963,3140,2014,30097_2014
30097,44256,40,96390,43557,2973,2015,30097_2015
30097,46663,40.3,96863,44905,3086,2016,30097_2016
30097,46546,40.5,99904,47411,3517,2017,30097_2017
30097,46905,41.7,101119,50464,3524,2018,30097_2018
30097,46609,42.1,113314,54972,2979,2019,30097_2019
30101,55141,36.8,75421,31013,5326,2013,30101_2013
30101,54903,37,74094,31189,5557,2014,30101_2014
