Zipcode,City,GeoCode,County,State,Metro,Column6
30220,Grantville,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30223,Griffin,770/678/470,Spalding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30224,Griffin,770/678/470,Spalding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30228,Hampton,770/678/470,Henry County,Georgia - GA,"Atlanta,GA (0520)",MSA
30229,Haralson,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30236,Jonesboro,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30236,Lake Spivey,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30237,Jonesboro,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30238,Jonesboro,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30248,Locust Grove,770/678/470,Henry County,Georgia - GA,"Atlanta,GA (0520)",MSA
30250,Lovejoy,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30252,McDonough,770/678/470,Henry County,Georgia - GA,"Atlanta,GA (0520)",MSA
30253,Mc Donough,770/678/470,Henry County,Georgia - GA,"Atlanta,GA (0520)",MSA
30253,McDonough,770/678/470,Henry County,Georgia - GA,"Atlanta,GA (0520)",MSA
30259,Moreland,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30260,Lake City,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30260,Morrow,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30263,Newnan,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30263,Raymond,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30264,Newnan,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30265,Newnan,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30265,Shenandoah,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30266,Orchard Hill,770/678/470,Spalding County,Georgia - GA,"Atlanta,GA (0520)",MSA
30268,Chattahoochee Hills,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30268,Palmetto,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30269,Peachtree City,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30270,Fayetteville,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30270,Peachtree City,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30270,Peachtree City Parcel Return,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30271,Newnan,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30272,Red Oak,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30273,Rex,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30274,Riverdale,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30275,Sargent,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30276,Senoia,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30277,Sharpsburg,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30281,Stockbridge,770/678/470,Henry County,Georgia - GA,"Atlanta,GA (0520)",MSA
30284,Sunny Side,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30287,Morrow,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30288,Conley,404/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30289,Turin,770/678/470,Coweta County,Georgia - GA,"Atlanta,GA (0520)",MSA
30290,Tyrone,770/678/470,Fayette County,Georgia - GA,"Atlanta,GA (0520)",MSA
30291,Union City,770/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30294,Ellenwood,770/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
30296,Riverdale,770/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30297,Forest Park,404/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30297,Fort Gillem,404/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30298,Forest,404/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30298,Forest Park,404/678/470,Clayton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30301,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30301,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30302,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30302,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30303,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30303,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30303,Georgia State University,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30304,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30304,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30305,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30305,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30306,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30306,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30306,North Highland Finance,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30307,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30307,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30307,Little Five Points Pstl Str,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30308,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30308,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30309,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30309,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30310,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30310,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30310,Fort McPherson,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30311,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30311,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30312,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30312,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30313,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30313,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30314,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30314,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30315,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30315,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30316,ATL,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30316,Atlanta,404/678/470,Fulton County,Georgia - GA,"Atlanta,GA (0520)",MSA
30317,ATL,404/678/470,DeKalb County,Georgia - GA,"Atlanta,GA (0520)",MSA
