Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count
08618,39195.0,31.2,41508.0,20523.0,8584.0
08619,22639.0,43.0,67929.0,33719.0,899.0
08620,12409.0,43.7,87178.0,34779.0,365.0
08628,9361.0,41.9,84935.0,41496.0,721.0
08629,12730.0,30.9,54679.0,19916.0,2207.0
08638,23176.0,37.3,56089.0,24597.0,4891.0
08640,7892.0,35.1,61507.0,13633.0,149.0
08641,4485.0,22.4,51119.0,17623.0,157.0
08648,32359.0,38.6,87001.0,39134.0,1601.0
08690,18676.0,46.3,98768.0,42781.0,228.0
08691,15251.0,41.8,112656.0,53476.0,313.0
08701,93473.0,22.6,41026.0,14796.0,29796.0
08720,955.0,43.4,120031.0,38240.0,0.0
08721,20802.0,41.1,77282.0,32498.0,1270.0
08722,11127.0,36.9,76279.0,31097.0,752.0
08723,31648.0,43.6,67929.0,32809.0,2310.0
08724,43100.0,44.0,70089.0,35506.0,2234.0
08730,4772.0,47.0,120711.0,57035.0,94.0
08731,19776.0,43.0,65750.0,32327.0,1749.0
08732,1560.0,52.0,77935.0,41704.0,140.0
08733,2765.0,31.1,60690.0,22671.0,310.0
08734,8113.0,45.6,83893.0,37369.0,425.0
08735,3019.0,64.7,67292.0,48265.0,228.0
08736,12213.0,49.1,97173.0,57438.0,594.0
08738,930.0,65.8,107574.0,95385.0,40.0
08740,2072.0,40.0,62770.0,29598.0,273.0
08741,2758.0,41.8,79333.0,32498.0,263.0
08742,24330.0,44.7,81862.0,41683.0,1817.0
08750,3731.0,51.4,109792.0,69229.0,44.0
08751,4300.0,45.1,36167.0,23829.0,1006.0
08752,2199.0,60.6,69773.0,46392.0,135.0
08753,63764.0,40.5,75480.0,34810.0,4256.0
08755,25845.0,46.8,66859.0,37133.0,1447.0
08757,33638.0,63.6,37762.0,25985.0,3106.0
08758,7649.0,53.8,70593.0,33656.0,414.0
08759,32508.0,69.0,36911.0,29356.0,2689.0
08801,8926.0,32.9,113346.0,40609.0,149.0
08802,3887.0,45.6,113409.0,50224.0,159.0
08804,2463.0,44.7,87625.0,44168.0,99.0
08805,12437.0,35.4,66436.0,33109.0,999.0
08807,38242.0,41.5,113294.0,47707.0,1403.0
08808,44.0,40.3,-666666666.0,12805.0,6.0
08809,6366.0,39.2,99457.0,37829.0,236.0
08810,8905.0,39.2,112319.0,43459.0,114.0
08812,14435.0,41.4,93190.0,42287.0,704.0
08816,46670.0,42.4,97370.0,42700.0,2456.0
08817,44807.0,35.0,84510.0,33962.0,2917.0
08820,39679.0,41.6,114568.0,46648.0,1719.0
